date,state,cfr,hospitals,hospitals_per_100k
2020-06-21,Kansas,2.1,169,5.805
2020-06-22,Kansas,2.07,169,5.805
2020-06-23,Kansas,2.06,169,5.805
2020-06-24,Kansas,2.0,169,5.805
2020-06-25,Kansas,1.99,169,5.805
2020-06-26,Kansas,1.94,169,5.805
2020-06-27,Kansas,1.95,169,5.805
2020-06-28,Kansas,1.94,169,5.805
2020-06-29,Kansas,1.89,169,5.805
2020-06-30,Kansas,1.89,169,5.805
2020-07-01,Kansas,1.85,169,5.805
2020-07-02,Kansas,1.85,169,5.805
2020-07-03,Kansas,1.77,169,5.805
2020-07-04,Kansas,1.76,169,5.805
2020-07-05,Kansas,1.76,169,5.805
2020-07-06,Kansas,1.69,169,5.805
2020-07-07,Kansas,1.69,169,5.805
2020-07-08,Kansas,1.63,169,5.805
2020-07-09,Kansas,1.63,169,5.805
2020-07-10,Kansas,1.56,169,5.805
2020-07-11,Kansas,1.55,169,5.805
2020-07-12,Kansas,1.55,169,5.805
2020-07-13,Kansas,1.49,169,5.805
2020-07-14,Kansas,1.49,169,5.805
2020-07-15,Kansas,1.46,169,5.805
2020-07-16,Kansas,1.45,169,5.805
2020-07-17,Kansas,1.4,169,5.805
2020-07-18,Kansas,1.4,169,5.805
2020-07-19,Kansas,1.39,169,5.805
2020-07-20,Kansas,1.35,169,5.805
2020-07-21,Kansas,1.35,169,5.805
2020-07-22,Kansas,1.33,169,5.805
2020-07-23,Kansas,1.33,169,5.805
2020-07-24,Kansas,1.3,169,5.805
2020-07-25,Kansas,1.31,169,5.805
2020-07-26,Kansas,1.31,169,5.805
2020-07-27,Kansas,1.28,169,5.805
2020-07-28,Kansas,1.3,169,5.805
2020-07-29,Kansas,1.28,169,5.805
2020-07-30,Kansas,1.31,169,5.805
2020-07-31,Kansas,1.27,169,5.805
2020-08-01,Kansas,1.27,169,5.805
2020-08-02,Kansas,1.27,169,5.805
2020-08-03,Kansas,1.25,169,5.805
2020-08-04,Kansas,1.25,169,5.805
2020-08-05,Kansas,1.23,169,5.805
2020-08-06,Kansas,1.25,169,5.805
2020-08-07,Kansas,1.23,169,5.805
2020-08-08,Kansas,1.23,169,5.805
2020-08-09,Kansas,1.22,169,5.805
2020-08-10,Kansas,1.21,169,5.805
2020-08-11,Kansas,1.21,169,5.805
2020-08-12,Kansas,1.2,169,5.805
2020-08-13,Kansas,1.22,169,5.805
2020-08-14,Kansas,1.18,169,5.805
2020-08-15,Kansas,1.18,169,5.805
2020-08-16,Kansas,1.18,169,5.805
2020-08-17,Kansas,1.15,169,5.805
2020-08-18,Kansas,1.16,169,5.805
2020-08-19,Kansas,1.16,169,5.805
2020-08-20,Kansas,1.16,169,5.805
2020-08-21,Kansas,1.15,169,5.805
2020-08-22,Kansas,1.15,169,5.805
2020-08-23,Kansas,1.14,169,5.805
2020-08-24,Kansas,1.11,169,5.805
2020-08-25,Kansas,1.11,169,5.805
2020-08-26,Kansas,1.1,169,5.805
2020-08-27,Kansas,1.1,169,5.805
2020-08-28,Kansas,1.07,169,5.805
2020-08-29,Kansas,1.07,169,5.805
2020-08-30,Kansas,1.07,169,5.805
2020-08-31,Kansas,1.04,169,5.805
2020-09-01,Kansas,1.04,169,5.805
2020-09-02,Kansas,1.03,169,5.805
2020-09-03,Kansas,1.06,169,5.805
2020-09-04,Kansas,1.04,169,5.805
2020-09-05,Kansas,1.05,169,5.805
2020-09-06,Kansas,1.05,169,5.805
2020-09-07,Kansas,1.02,169,5.805
2020-09-08,Kansas,1.02,169,5.805
2020-09-09,Kansas,1.03,169,5.805
2020-09-10,Kansas,1.03,169,5.805
2020-09-11,Kansas,1.05,169,5.805
2020-09-12,Kansas,1.08,169,5.805
2020-09-13,Kansas,1.08,169,5.805
2020-09-14,Kansas,1.07,169,5.805
2020-09-15,Kansas,1.09,169,5.805
2020-09-16,Kansas,1.13,169,5.805
2020-09-17,Kansas,1.13,169,5.805
2020-09-18,Kansas,1.12,169,5.805
2020-09-19,Kansas,1.12,169,5.805
2020-09-20,Kansas,1.12,169,5.805
2020-09-21,Kansas,1.1,169,5.805
2020-09-22,Kansas,1.12,169,5.805
2020-09-23,Kansas,1.12,169,5.805
2020-09-24,Kansas,1.12,169,5.805
2020-09-25,Kansas,1.1,169,5.805
2020-09-26,Kansas,1.1,169,5.805
2020-09-27,Kansas,1.1,169,5.805
2020-09-28,Kansas,1.07,169,5.805
2020-09-29,Kansas,1.08,169,5.805
2020-09-30,Kansas,1.11,169,5.805
2020-10-01,Kansas,1.11,169,5.805
2020-10-02,Kansas,1.12,169,5.805
2020-10-03,Kansas,1.12,169,5.805
2020-10-04,Kansas,1.12,169,5.805
2020-10-05,Kansas,1.11,169,5.805
2020-10-06,Kansas,1.1,169,5.805
2020-10-07,Kansas,1.11,169,5.805
2020-10-08,Kansas,1.13,169,5.805
2020-10-09,Kansas,1.14,169,5.805
2020-10-10,Kansas,1.14,169,5.805
2020-10-11,Kansas,1.14,169,5.805
2020-10-12,Kansas,1.12,169,5.805
2020-10-13,Kansas,1.13,169,5.805
2020-10-14,Kansas,1.19,169,5.805
2020-10-15,Kansas,1.18,169,5.805
2020-10-16,Kansas,1.18,169,5.805
2020-10-17,Kansas,1.18,169,5.805
2020-10-18,Kansas,1.18,169,5.805
2020-10-19,Kansas,1.17,169,5.805
2020-10-20,Kansas,1.2,169,5.805
2020-10-21,Kansas,1.25,169,5.805
2020-10-22,Kansas,1.24,169,5.805
2020-10-23,Kansas,1.25,169,5.805
2020-10-24,Kansas,1.25,169,5.805
2020-10-25,Kansas,1.25,169,5.805
2020-10-26,Kansas,1.21,169,5.805
2020-10-27,Kansas,1.21,169,5.805
2020-10-28,Kansas,1.21,169,5.805
2020-10-29,Kansas,1.2,169,5.805
2020-10-30,Kansas,1.19,169,5.805
2020-10-31,Kansas,1.19,169,5.805
2020-11-01,Kansas,1.19,169,5.805
2020-11-02,Kansas,1.15,169,5.805
2020-11-03,Kansas,1.15,169,5.805
